task,seed,method,normalized_HV,shape_error,force_MAPE
unseen LCE formulation B,1,MF-HVKG,0.8708539929252027,0.05834326498511201,0.09622588197501594
unseen LCE formulation B,2,MF-HVKG,0.8950357491273092,0.060223659441224875,0.10074143353447733
unseen LCE formulation B,3,MF-HVKG,0.8901184875119912,0.05310061725477152,0.08046527296045908
unseen LCE formulation B,4,MF-HVKG,0.8734333765214443,0.04594416037404933,0.0892670880154082
unseen LCE formulation B,5,MF-HVKG,0.883557839398844,0.04619174017400911,0.08099469156221435
unseen LCE formulation B,6,MF-HVKG,0.8776141639728582,0.06610316080566399,0.1041952014178901
unseen LCE formulation B,7,MF-HVKG,0.8729980150282484,0.06373983247394654,0.11251565256090748
unseen LCE formulation B,8,MF-HVKG,0.896001227223219,0.05645962524981763,0.09641917628588308
unseen LCE formulation B,9,MF-HVKG,0.8779780627838091,0.061240296820842186,0.08438752910649039
unseen LCE formulation B,10,MF-HVKG,0.9008240543503673,0.06782430954919948,0.10363249111131845
unseen LCE formulation B,11,MF-HVKG,0.8874505560200636,0.04519018544065527,0.07215882502712356
unseen LCE formulation B,12,MF-HVKG,0.8800499638951765,0.05787470379399348,0.09361254437002825
unseen LCE formulation B,13,MF-HVKG,0.877477786490841,0.05459835407758096,0.08283346163028694
unseen LCE formulation B,14,MF-HVKG,0.901863030660972,0.05447358233629027,0.08473558954917268
unseen LCE formulation B,15,MF-HVKG,0.8902705789324163,0.0506543908473819,0.10007601235868269
unseen LCE formulation B,16,MF-HVKG,0.8903735836040598,0.059034572412944,0.06884212601157551
unseen LCE formulation B,17,MF-HVKG,0.8715797402063922,0.05531011082609882,0.09178323771247422
unseen LCE formulation B,18,MF-HVKG,0.8827551482831127,0.056444704532684874,0.081292127700411
unseen LCE formulation B,19,MF-HVKG,0.888007894947711,0.05497075790125248,0.09204790767096065
unseen LCE formulation B,20,MF-HVKG,0.8723327558116042,0.056538603515907095,0.0702274409838019
unseen LCE formulation B,1,qLogNEHVI,0.852425780139816,0.06289912125650865,0.11621838641585405
unseen LCE formulation B,2,qLogNEHVI,0.8733187908093636,0.07002866712786625,0.10858067168396346
unseen LCE formulation B,3,qLogNEHVI,0.872413396845049,0.06392285488690301,0.09540178238433256
unseen LCE formulation B,4,qLogNEHVI,0.8678690782704441,0.06947090022250407,0.10137585709867504
unseen LCE formulation B,5,qLogNEHVI,0.8679121430606822,0.05984983886067017,0.09919532044796046
unseen LCE formulation B,6,qLogNEHVI,0.882864252413058,0.07030833634834563,0.10966285790518719
unseen LCE formulation B,7,qLogNEHVI,0.8717716725842243,0.06446946289578578,0.10737261724395375
unseen LCE formulation B,8,qLogNEHVI,0.8996901820383328,0.06666281970343699,0.1220646173315127
unseen LCE formulation B,9,qLogNEHVI,0.9039704658209374,0.059161834129652535,0.08822483011761
unseen LCE formulation B,10,qLogNEHVI,0.861979075363345,0.06859590816517243,0.09799087686035592
unseen LCE formulation B,11,qLogNEHVI,0.873308997457255,0.0724633229234826,0.08438943501713977
unseen LCE formulation B,12,qLogNEHVI,0.8706630871299265,0.05826797779235153,0.10298293290805177
unseen LCE formulation B,13,qLogNEHVI,0.8631041644153732,0.05767068229069926,0.10204137077409346
unseen LCE formulation B,14,qLogNEHVI,0.8722824975441189,0.07396893659683927,0.10981779423209573
unseen LCE formulation B,15,qLogNEHVI,0.8698072857701846,0.06771729297771982,0.09400732823397721
unseen LCE formulation B,16,qLogNEHVI,0.8568889041998364,0.07371429094324515,0.10330281363558366
unseen LCE formulation B,17,qLogNEHVI,0.857319242488395,0.063255089005822,0.12351063042038772
unseen LCE formulation B,18,qLogNEHVI,0.8777098602677209,0.06853814567049497,0.11915306880092057
unseen LCE formulation B,19,qLogNEHVI,0.852689612004333,0.0722560960080685,0.106124417939482
unseen LCE formulation B,20,qLogNEHVI,0.8646854641803744,0.06327536540205585,0.11421297549707025
unseen LCE formulation B,1,MOMF,0.8506443606515733,0.07858769119620707,0.12610563543180334
unseen LCE formulation B,2,MOMF,0.8708826773395839,0.07347707975651252,0.11679376042956494
unseen LCE formulation B,3,MOMF,0.8684217697707963,0.05896906034264263,0.10767643350507616
unseen LCE formulation B,4,MOMF,0.8730556844607051,0.07429836642170567,0.10161333019860161
unseen LCE formulation B,5,MOMF,0.8619483962415307,0.07504700450444886,0.1041036438611978
unseen LCE formulation B,6,MOMF,0.8430897761881457,0.05503414305459735,0.11697882031764494
unseen LCE formulation B,7,MOMF,0.8577796348486847,0.06674611408440057,0.110497233886303
unseen LCE formulation B,8,MOMF,0.8560393338659107,0.08156679920971216,0.11321502446682741
unseen LCE formulation B,9,MOMF,0.8790198120319042,0.08515802487610438,0.12492326733181379
unseen LCE formulation B,10,MOMF,0.8728879135024302,0.06700266309267759,0.13345128276152482
unseen LCE formulation B,11,MOMF,0.8581704380595483,0.08013796486097363,0.11684311269410846
unseen LCE formulation B,12,MOMF,0.8552525911835455,0.07522822256302752,0.09684733450614641
unseen LCE formulation B,13,MOMF,0.8376350450034888,0.07868595481311906,0.09804352916553953
unseen LCE formulation B,14,MOMF,0.866381795792645,0.07885218608814645,0.10309165453379711
unseen LCE formulation B,15,MOMF,0.8621686312865428,0.07678476362114707,0.12044382504066768
unseen LCE formulation B,16,MOMF,0.8613692514508169,0.09580492475848282,0.13173834422507333
unseen LCE formulation B,17,MOMF,0.8438972425074557,0.07513952972300784,0.1223559844789293
unseen LCE formulation B,18,MOMF,0.8761269000878321,0.0852260876775467,0.11464636275717206
unseen LCE formulation B,19,MOMF,0.863322154058292,0.08005125584252476,0.11188964459287629
unseen LCE formulation B,20,MOMF,0.8617828613902819,0.08189525320613476,0.1166594062039543
unseen LCE formulation B,1,PHSEA,0.8431739468700468,0.0779228834976176,0.13512629726577716
unseen LCE formulation B,2,PHSEA,0.8483071472498227,0.07276436910922557,0.12336203417528249
unseen LCE formulation B,3,PHSEA,0.8649860242341931,0.0910333476034797,0.12869817656259486
unseen LCE formulation B,4,PHSEA,0.8366805689955288,0.08035240596820364,0.11685292544649405
unseen LCE formulation B,5,PHSEA,0.8491480552822722,0.0870316822036624,0.12559218898778968
unseen LCE formulation B,6,PHSEA,0.8472928849336845,0.08930629644111794,0.11626037887698296
unseen LCE formulation B,7,PHSEA,0.855448967879203,0.08809660945616815,0.11592005564873162
unseen LCE formulation B,8,PHSEA,0.8493943460483684,0.08758920142393128,0.12277406476685862
unseen LCE formulation B,9,PHSEA,0.8607345472186732,0.08059607682362979,0.15045380292297744
unseen LCE formulation B,10,PHSEA,0.8605978533813272,0.08186744736850247,0.10219841318543378
unseen LCE formulation B,11,PHSEA,0.8531996173751616,0.07565262059963335,0.10235181514198312
unseen LCE formulation B,12,PHSEA,0.8358988595774118,0.0788539747486108,0.1266665970653881
unseen LCE formulation B,13,PHSEA,0.8483319620200445,0.0928827235661489,0.12318954933443653
